OID,StopUID,StopID,StopName,StopNameEn,StopAddres,StationID,StopDescri,Updatetime,ProvCode,Lon,Lat,UniqueID
-1,KHH1000252542,1000252542,復興國小,Fuh-Hsing Primary School, ,3535, ,2024/10/30,KHH,22.608172,120.311619,B1E0010069V090
-1,KHH10002559432,10002559432,七老爺,cilao ye, ,3808, ,2024/10/30,KHH,22.607694,120.347541,B1E0010069V090
-1,KHH100026139762,1.00026E+11,高醫(高雄醫學大學),Kaohsiung Medical University Chung-Ho Memorial Hospital, ,4004, ,2024/10/30,KHH,22.646532,120.308709,B1E0010069V090
-1,KHH100026139731,1.00026E+11,北平一街二,Beiping 1st St. II, ,4001, ,2024/10/30,KHH,22.64984,120.30759,B1E0010069V090
-1,KHH10002586432,10002586432,歷史博物館(高雄國際會議中心),Kaohsiung Museum of History(ICCK), ,3419, ,2024/10/30,KHH,22.626005,120.286722,B1E0010069V090
-1,KHH1000263711,1000263711,一心一路口(輕軌籬仔內站),Yisin 1st Rd. Intersection(LRT Lizainei Station), ,2670, ,2024/10/30,KHH,22.606219,120.324894,B1E0010069V090
-1,KHH100028145621,1.00028E+11,榮總側門,the side entrance of Kaohsiung Veterans General Hospital, ,2488, ,2024/10/30,KHH,22.679713,120.321676,B1E0010069V090
-1,KHH100028140862,1.00028E+11,榮佑路,Rongyou Rd., ,1490, ,2024/10/30,KHH,22.68194,120.320758,B1E0010069V090
-1,KHH10002833372,10002833372,加昌路,Jiachang Rd., ,3472, ,2024/10/30,KHH,22.720077,120.310261,B1E0010069V090
-1,KHH10002845971,10002845971,楠梓農會,Nanzi Farmers' Association, ,856, ,2024/10/30,KHH,22.728835,120.329533,B1E0010069V090
-1,KHH10002846482,10002846482,高楠里,Gaonan Village, ,868, ,2024/10/30,KHH,22.692247,120.321753,B1E0010069V090
-1,KHH10002845831,10002845831,後勁國中(捷運後勁站),Houjing Elementary School(MRT Houjin Station), ,3475, ,2024/10/30,KHH,22.721856,120.315639,B1E0010069V090
-1,KHH10002846522,10002846522,水管路口(高楠公路),Shueiguan Rd. Intersection(Gaonan Highway), ,1973, ,2024/10/30,KHH,22.704604,120.324128,B1E0010069V090
-1,KHH100030130872,1.0003E+11,花鄉,Hua-xiang Motel, ,4817, ,2024/10/30,KHH,22.61077,120.360449,B1E0010069V090
-1,KHH10003011971,10003011971,高松(營口路),Gaosong(Yingkou Rd.), ,3492, ,2024/10/30,KHH,22.571816,120.370996,B1E0010069V090
-1,KHH10003018791,10003018791,合作一村,Hezuo 1st Village, ,3504, ,2024/10/30,KHH,22.58139,120.362302,B1E0010069V090
-1,KHH10003058622,10003058622,高雄市議會(忠孝國中),Kaohsiung City Council(Jhong Siao Junior High School), ,4332, ,2024/10/30,KHH,22.619871,120.347194,B1E0010069V090
-1,KHH10003025762,10003025762,褒揚街口,Baoyang St. Intersection, ,2509, ,2024/10/30,KHH,22.639932,120.345205,B1E0010069V090
-1,KHH10003025902,10003025902,衛武社區,weiwu Community, ,1007, ,2024/10/30,KHH,22.626881,120.344162,B1E0010069V090
-1,KHH10003136781,10003136781,榮總側門,the side entrance of Kaohsiung Veterans General Hospital, ,2488, ,2024/10/30,KHH,22.679713,120.321676,B1E0010069V090
-1,KHH10003146372,10003146372,天祥一路,Tiansiang 1st Rd., ,3731, ,2024/10/30,KHH,22.667789,120.318221,B1E0010069V090
-1,KHH10003137352,10003137352,文信路口,Wunsin Rd. Intersection, ,2686, ,2024/10/30,KHH,22.664514,120.300408,B1E0010069V090
-1,KHH10000338881,10000338881,民族路(明誠路口),Minzu Rd.(Mingcheng Rd. Intersection), ,48, ,2024/10/30,KHH,22.661212,120.315817,B1E0010069V090
-1,KHH10000336921,10000336921,文藻外語大學(鼎中路),Wenzao Ursuline University of Languages(Dingjhong Rd.), ,674, ,2024/10/30,KHH,22.671189,120.320758,B1E0010069V090
-1,KHH10000343341,10000343341,重愛路(新莊高中),Jhongai Rd.(Hsinchuang Senior High School), ,2394, ,2024/10/30,KHH,22.683415,120.317926,B1E0010069V090
-1,KHH10000344352,10000344352,大中路口一(華夏路),Dajhong Rd. Intersection I(Huasia Rd.), ,3819, ,2024/10/30,KHH,22.683511,120.308264,B1E0010069V090
-1,KHH100006112892,1.00006E+11,巨園建設,Jyuyuan Construction company, ,4686, ,2024/10/30,KHH,22.75205,120.341162,B1E0010069V090
-1,KHH100006133191,1.00006E+11,旗楠路口,Cinan Rd. Intersection, ,4934, ,2024/10/30,KHH,22.7475,120.345356,B1E0010069V090
-1,KHH10000633031,10000633031,半屏山(左營大路),Banpingshan(Zuoying Avenue), ,3048, ,2024/10/30,KHH,22.693852,120.299493,B1E0010069V090
-1,KHH10000635112,10000635112,菜公路口(左營大路),Caigong Rd. Intersection(Zuoying Avenue), ,706, ,2024/10/30,KHH,22.692013,120.297999,B1E0010069V090
-1,KHH10000651171,10000651171,德民路(外環西路口),Demin Rd.(Waihuan W. Rd.), ,3070, ,2024/10/30,KHH,22.72347,120.298586,B1E0010069V090
-1,KHH10000654311,10000654311,高雄科大(楠梓),National Kaohsiung University of Science and Technology(Nanzih), ,3080, ,2024/10/30,KHH,22.724546,120.314074,B1E0010069V090
-1,KHH10000656982,10000656982,健仁醫院,Jiannren Hospital, ,2142, ,2024/10/30,KHH,22.723769,120.329399,B1E0010069V090
-1,KHH100007135522,1.00007E+11,高雄科大(燕巢),National Kaohsiung University of Science and Technology(Yanchao), ,2347, ,2024/10/30,KHH,22.772939,120.40073,B1E0010069V090
-1,KHH10000745751,10000745751,捷運楠梓科技園區站,MRT Nanzih Technology Industrial Park Station, ,1054, ,2024/10/30,KHH,22.718256,120.306415,B1E0010069V090
